state,lon,lat
Alabama,-86.902298,32.3182314
"Alameda County, CA",-121.7195459,37.6016892
Alaska,-149.4936733,64.2008413
Alberta,-116.5765035,53.9332706
Anhui,117.9249002,30.6006773
Arizona,-111.0937311,34.0489281
Arkansas,-91.8318334,35.20105
Aruba,-69.968338,12.52111
"Ashland, NE",-96.3683157,41.0393413
Australian Capital Territory,149.0123679,-35.4734679
Bavaria,11.4978895,48.7904472
Beijing,116.4073963,39.90419989999999
"Bennington County, VT",-73.13496049999999,43.0278745
"Bergen County, NJ",-74.07701,40.9262762
"Berkeley, CA",-122.273042,37.8715226
"Berkshire County, MA",-73.1821623,42.311782
"Boston, MA",-71.0588801,42.3600825
British Columbia,-127.6476205,53.7266683
"Broward County, FL",-80.365865,26.190096
"Calgary, Alberta",-114.0718831,51.04473309999999
California,-119.4179324,36.778261
"Carver County, MN",-93.7841503,44.82543099999999
Cayman Islands,-81.2546,19.3133
Channel Islands,-119.3791204,33.4506004
"Charleston County, SC",-79.7848422,32.7956561
"Charlotte County, FL",-81.909826,26.8946009
"Chatham County, NC",-79.17806999999999,35.7211289
"Cherokee County, GA",-84.4802606,34.2514526
Chicago,-87.6297982,41.8781136
"Chicago, IL",-87.6297982,41.8781136
Chongqing,106.912251,29.4315861
"Clark County, NV",-115.094045,36.0795613
"Clark County, WA",-122.5194378,45.7466471
"Cobb County, GA",-84.56414699999999,33.8999297
"Collin County, TX",-96.49297969999999,33.1795213
Colorado,-105.7820674,39.5500507
Connecticut,-73.087749,41.6032207
"Contra Costa County, CA",-121.9017954,37.8534093
"Cook County, IL",-87.697554,41.7376587
Cruise Ship,-94.70188999999999,38.9193108
Curacao,-68.99002,12.16957
"Davidson County, TN",-86.8220341,36.1342563
"Davis County, UT",-112.0953297,40.9628845
Delaware,-75.52766989999999,38.9108325
"Delaware County, PA",-75.3878525,39.907793
Denmark,9.501785,56.26392
"Denver County, CO",-104.990251,39.7392358
District of Columbia,-77.0368707,38.9071923
"Douglas County, CO",-104.9388853,39.2587106
"Douglas County, NE",-96.19513200000002,41.3148116
